Platform,Product_ID,Product_Category,Product_Subcategory,Product_Price,Discount_%,Stock_Count,Review_ID,Seller_ID,Rating,Review_Text,Review_Length,Sentiment_Score,Verified_Purchase,Delivery_Days,Return_Requested,Damage_Reported,Complaint_Type,IP_Address,Device_Fingerprint,Review_Timestamp,IP_Review_Frequency,Device_Reuse_Count,Burst_Review_Flag,Fraud_Label
Quikr,P2484,Bedding,Curtain,101971,71,194,R40,S923,4,Product matches description perfectly,4,0.72,No,10,Yes,No,,192.168.50.106,DEV-4457,22-11-2025 22:28,6,6,No,Genuine
Telegram,P712,Bedding,Bedsheet,20817,5,209,R41,S923,5,Worth the price and good packaging,6,-0.417,Yes,10,No,No,,192.168.232.36,DEV-4824,22-11-2025 23:16,38,22,No,Genuine
Telegram,P1742,Furniture,Coffee Table,29766,24,465,R42,S545,2,Very disappointed with the product,5,-0.668,No,20,Yes,Yes,Damaged Product,192.168.147.224,DEV-3037,09-09-2025 15:26,20,23,No,Complaint
Quikr,P1116,Bedding,Blanket,57677,15,306,R43,S82,4,Product matches description perfectly,4,0.207,Yes,3,Yes,No,,192.168.10.137,DEV-1659,25-12-2025 12:08,31,17,No,Genuine
YouTube Live,P1140,Home Decor,Showpiece,57432,67,496,R44,S187,4,Product matches description perfectly,4,-0.183,No,4,Yes,No,,192.168.253.147,DEV-7561,11-08-2025 00:09,3,15,No,Genuine
WhatsApp Business,P1289,Lighting,LED Strip,15494,56,442,R45,S1054,1,Super product awesome awesome,4,-0.174,Yes,17,Yes,No,,192.168.255.226,DEV-1845,15-12-2025 04:15,18,18,No,Genuine
Facebook Marketplace,P1180,Kitchen,Utensil Holder,63832,20,14,R46,S1291,5,Very satisfied with the purchase,5,0.42,No,18,Yes,No,,192.168.47.115,DEV-2858,12-09-2025 06:47,8,21,No,Genuine
Facebook Marketplace,P2042,Storage,Shoe Rack,66998,39,212,R47,S989,4,Very satisfied with the purchase,5,-0.086,Yes,13,Yes,No,,192.168.69.35,DEV-5526,29-09-2025 05:09,22,17,No,Genuine
Meesho,P11,Lighting,LED Strip,110069,80,296,R48,S1352,4,Very satisfied with the purchase,5,-0.107,No,12,No,No,,192.168.193.233,DEV-6272,20-12-2025 14:30,16,19,No,Genuine
Quikr,P957,Electronics,Power Bank,6020,45,381,R49,S969,4,Worth the price and good packaging,6,0.977,Yes,16,Yes,No,,10.0.0.5,DEV-6439,21-01-2026 17:59,29,4,Yes,Genuine
YouTube Live,P63,Storage,Organizer Box,54036,24,38,R50,S962,3,Battery drains quickly,3,0.385,Yes,11,No,No,Poor Quality,192.168.249.18,DEV-2121,03-12-2025 19:31,19,8,No,Complaint
WhatsApp Business,P1778,Furniture,Sofa,58453,26,355,R51,S614,1,"Not as described, poor quality",5,0.592,No,12,Yes,No,Late Delivery,192.168.74.125,DEV-9702,30-09-2025 06:25,37,22,No,Complaint
Facebook Marketplace,P697,Home Decor,Wall Art,80187,53,317,R52,S1400,2,Battery drains quickly,3,-0.714,No,9,Yes,No,Missing Parts,192.168.4.238,DEV-5712,12-08-2025 06:44,11,3,No,Complaint
YouTube Live,P1416,Bedding,Cushion,84046,59,353,R53,S513,4,Product matches description perfectly,4,-0.602,No,16,Yes,No,,10.0.0.5,DEV-6881,11-11-2025 13:36,19,1,Yes,Genuine
Quikr,P1125,Furniture,Coffee Table,113686,11,466,R54,S1242,4,Product matches description perfectly,4,0.551,Yes,20,No,No,,10.0.0.2,DEV-5106,08-01-2026 11:47,7,21,Yes,Genuine
Instagram,P1266,Electronics,Power Bank,4673,79,186,R55,S1500,2,"Not as described, poor quality",5,-0.347,No,6,Yes,Yes,Damaged Product,10.0.0.5,DEV-6994,18-08-2025 00:19,33,9,Yes,Complaint
Facebook Marketplace,P1053,Electronics,Power Bank,106008,42,382,R56,S694,1,Very disappointed with the product,5,-0.718,Yes,13,Yes,No,Missing Parts,192.168.187.46,DEV-7464,22-02-2026 05:21,17,18,No,Complaint
WhatsApp Business,P1863,Lighting,LED Strip,76919,53,421,R57,S1308,3,Item arrived damaged,3,-0.057,No,20,Yes,Yes,Damaged Product,192.168.237.154,DEV-7689,15-01-2026 19:27,9,2,No,Complaint
Instagram,P1247,Kitchen,Storage Jar,13039,35,454,R58,S1101,2,Received wrong item,3,-0.258,No,19,Yes,No,Color Mismatch,192.168.79.212,DEV-2622,02-09-2025 03:00,40,14,No,Complaint
Meesho,P135,Storage,Shoe Rack,28777,61,227,R59,S484,3,"Not as described, poor quality",5,0.089,No,2,No,Yes,Damaged Product,192.168.62.232,DEV-2501,12-12-2025 01:34,39,1,No,Complaint
Instagram,P1367,Home Decor,Mirror,103450,77,105,R60,S141,5,Very satisfied with the purchase,5,0.173,Yes,11,Yes,No,,192.168.1.141,DEV-3370,10-01-2026 23:05,35,9,No,Genuine
Facebook Marketplace,P451,Storage,Organizer Box,17575,6,183,R61,S488,5,Product matches description perfectly,4,-0.968,No,2,Yes,No,,192.168.58.32,DEV-8802,17-09-2025 01:53,24,17,No,Genuine
WhatsApp Business,P1852,Bedding,Curtain,80923,10,372,R62,S1350,5,Product matches description perfectly,4,-0.084,Yes,2,No,No,,192.168.218.55,DEV-9032,18-09-2025 19:04,5,3,No,Genuine
OLX,P2492,Home Decor,Wall Art,16840,40,319,R63,S1297,5,Highly recommend this seller,4,0.424,No,20,No,No,,192.168.220.50,DEV-2874,10-08-2025 13:20,14,14,No,Genuine
YouTube Live,P936,Kitchen,Spice Rack,108751,63,204,R64,S852,1,Received wrong item,3,-0.375,No,12,Yes,No,Poor Quality,192.168.242.34,DEV-2494,27-01-2026 05:03,6,14,No,Complaint
WhatsApp Business,P1527,Electronics,Earbuds,73224,12,300,R65,S1151,5,Product matches description perfectly,4,0.34,No,12,No,No,,192.168.26.147,DEV-6119,22-10-2025 06:15,7,19,No,Genuine
Telegram,P634,Storage,Shoe Rack,29692,18,179,R66,S1140,3,"Not as described, poor quality",5,0.148,No,18,Yes,Yes,Damaged Product,192.168.136.14,DEV-3955,19-11-2025 19:06,20,11,No,Complaint
OLX,P26,Home Decor,Mirror,74528,56,35,R67,S291,1,Battery drains quickly,3,-0.57,No,15,Yes,Yes,Damaged Product,192.168.189.159,DEV-6314,04-08-2025 15:16,39,3,No,Complaint
Instagram,P638,Home Decor,Showpiece,6822,15,139,R68,S908,4,Worth the price and good packaging,6,0.214,No,9,Yes,No,,192.168.58.176,DEV-8043,17-01-2026 22:00,19,22,No,Genuine
YouTube Live,P2159,Storage,Shoe Rack,6252,33,202,R69,S1228,1,Item arrived damaged,3,-0.397,Yes,5,Yes,No,Late Delivery,192.168.148.167,DEV-2965,24-02-2026 11:26,32,24,No,Complaint
Quikr,P720,Home Decor,Vase,70106,34,256,R70,S1145,3,Received wrong item,3,0.724,Yes,14,Yes,Yes,Damaged Product,192.168.39.160,DEV-8033,03-10-2025 01:04,27,10,No,Complaint
WhatsApp Business,P1660,Furniture,Dining Table,22827,63,425,R71,S1413,3,Received wrong item,3,0.689,Yes,14,No,Yes,Damaged Product,192.168.202.158,DEV-6562,08-12-2025 14:51,22,25,No,Complaint
Facebook Marketplace,P313,Bedding,Bedsheet,69847,70,99,R72,S716,3,Item arrived damaged,3,-0.794,No,7,Yes,No,Wrong Item,192.168.38.90,DEV-9095,11-09-2025 08:53,37,25,No,Complaint
YouTube Live,P2790,Bedding,Cushion,113578,45,77,R73,S901,1,Received wrong item,3,0.263,No,19,Yes,No,Missing Parts,10.0.0.5,DEV-2215,06-11-2025 06:35,30,15,Yes,Complaint
Instagram,P234,Lighting,LED Strip,10357,16,314,R74,S1217,5,Worth the price and good packaging,6,-0.075,Yes,15,Yes,No,,192.168.243.77,DEV-2013,16-09-2025 06:15,7,11,No,Genuine
WhatsApp Business,P2067,Storage,Organizer Box,5430,36,362,R75,S897,4,Highly recommend this seller,4,0.045,Yes,12,No,No,,192.168.198.209,DEV-6543,08-02-2026 05:24,22,3,No,Genuine
OLX,P388,Bedding,Blanket,37543,37,370,R76,S1345,5,Very satisfied with the purchase,5,-0.333,Yes,12,No,No,,192.168.200.66,DEV-2388,06-11-2025 13:48,36,13,No,Genuine
OLX,P524,Storage,Drawer Unit,108953,72,47,R77,S1324,4,Highly recommend this seller,4,-0.276,No,10,Yes,No,,192.168.174.248,DEV-4145,06-12-2025 19:25,9,5,No,Genuine
WhatsApp Business,P1212,Electronics,Smartphone,66843,74,427,R78,S1079,1,Battery drains quickly,3,-0.738,No,5,Yes,No,Poor Quality,10.0.0.5,DEV-3712,20-09-2025 22:32,3,14,Yes,Complaint
OLX,P2771,Storage,Organizer Box,58522,41,385,R79,S920,2,Amazing amazing amazing product,4,-0.381,No,7,Yes,No,,192.168.225.236,DEV-5616,11-10-2025 06:07,33,17,No,Genuine
Quikr,P664,Electronics,Earbuds,105322,22,446,R80,S513,1,"Not as described, poor quality",5,0.109,Yes,17,Yes,No,Missing Parts,192.168.145.42,DEV-3626,19-11-2025 23:17,29,17,No,Complaint
Facebook Marketplace,P1792,Furniture,Bed,107346,62,452,R81,S716,1,Very disappointed with the product,5,-0.207,No,8,Yes,No,Color Mismatch,192.168.41.191,DEV-4678,17-02-2026 00:40,21,4,No,Complaint
OLX,P599,Home Decor,Wall Art,37901,65,356,R82,S285,4,Worth the price and good packaging,6,0.231,Yes,1,No,No,,10.0.0.2,DEV-9991,19-08-2025 03:14,28,4,Yes,Genuine
Meesho,P974,Lighting,Lamp,6558,35,214,R83,S1309,5,Worth the price and good packaging,6,-0.874,No,20,Yes,No,,192.168.123.73,DEV-5772,24-09-2025 00:14,1,20,No,Genuine
OLX,P986,Bedding,Blanket,24851,15,268,R84,S739,1,Best best best must buy,5,-0.219,No,2,Yes,No,,192.168.191.129,DEV-1266,20-10-2025 06:38,5,12,No,Genuine
Telegram,P2692,Storage,Organizer Box,101422,79,376,R85,S681,2,"Not as described, poor quality",5,0.092,Yes,15,Yes,No,Late Delivery,192.168.245.93,DEV-3209,04-02-2026 07:36,30,2,No,Complaint
Meesho,P826,Furniture,Bed,116402,10,161,R86,S636,5,Worth the price and good packaging,6,0.978,No,9,Yes,No,,192.168.97.146,DEV-6848,09-02-2026 21:15,22,9,No,Genuine
WhatsApp Business,P1508,Kitchen,Spice Rack,97726,61,458,R87,S792,3,Received wrong item,3,0.384,No,17,No,No,Wrong Item,192.168.217.40,DEV-8055,23-12-2025 14:07,35,10,No,Complaint
OLX,P421,Furniture,Dining Table,86928,42,156,R88,S914,5,Worth the price and good packaging,6,-0.667,No,12,No,No,,10.0.0.3,DEV-8126,19-11-2025 07:52,4,3,Yes,Fake
Quikr,P1489,Bedding,Curtain,4381,23,434,R89,S1245,4,Excellent quality and fast delivery,5,-0.748,Yes,12,No,No,,192.168.16.78,DEV-8371,15-10-2025 05:26,24,15,No,Genuine
WhatsApp Business,P2351,Home Decor,Showpiece,48396,55,160,R90,S1331,3,Very disappointed with the product,5,-0.948,Yes,16,No,No,Battery Issue,192.168.60.134,DEV-5264,17-09-2025 19:23,14,20,No,Complaint
Meesho,P2843,Kitchen,Storage Jar,16374,22,436,R91,S152,4,Very satisfied with the purchase,5,0.797,No,3,No,No,,192.168.33.148,DEV-5914,31-12-2025 22:40,12,12,No,Genuine
Telegram,P498,Home Decor,Mirror,31329,68,13,R92,S740,5,Highly recommend this seller,4,-0.262,Yes,20,Yes,No,,10.0.0.4,DEV-8842,19-08-2025 21:23,27,25,Yes,Genuine
Quikr,P2355,Furniture,Bed,41853,14,230,R93,S955,5,Product matches description perfectly,4,-0.743,Yes,5,No,No,,192.168.28.63,DEV-9488,02-01-2026 13:54,20,6,No,Genuine
Facebook Marketplace,P1322,Storage,Organizer Box,45653,71,458,R94,S582,1,Item arrived damaged,3,0.27,No,5,Yes,No,Fake Product,192.168.47.86,DEV-3526,26-12-2025 23:00,40,24,No,Complaint
OLX,P2309,Furniture,Sofa,10946,10,485,R95,S1314,5,Product matches description perfectly,4,0.302,No,20,Yes,No,,192.168.148.154,DEV-8912,30-11-2025 03:12,26,10,No,Genuine
YouTube Live,P299,Storage,Organizer Box,21019,61,212,R96,S992,4,Very satisfied with the purchase,5,-0.32,Yes,11,No,No,,192.168.176.204,DEV-3142,15-10-2025 09:09,33,18,No,Genuine
WhatsApp Business,P1308,Home Decor,Vase,16359,39,230,R97,S508,2,Very disappointed with the product,5,-0.42,No,20,Yes,Yes,Damaged Product,192.168.81.167,DEV-6123,20-12-2025 04:11,11,16,No,Complaint
YouTube Live,P2043,Lighting,Ceiling Light,3337,16,483,R98,S806,5,Worth the price and good packaging,6,0.933,Yes,19,No,No,,10.0.0.3,DEV-9108,08-09-2025 22:55,19,18,Yes,Genuine
Instagram,P441,Kitchen,Storage Jar,115965,38,372,R99,S750,4,Product matches description perfectly,4,-0.91,Yes,19,Yes,No,,192.168.147.37,DEV-7329,27-08-2025 16:43,29,25,No,Genuine
Meesho,P2553,Storage,Drawer Unit,15872,21,499,R100,S199,4,Product matches description perfectly,4,0.59,No,18,No,No,,192.168.101.205,DEV-9193,12-02-2026 15:13,3,2,No,Genuine
Facebook Marketplace,P2923,Lighting,Ceiling Light,68369,63,76,R101,S1242,5,Very satisfied with the purchase,5,-0.344,No,6,No,No,,192.168.153.172,DEV-9311,25-08-2025 17:02,35,16,No,Genuine
Meesho,P1946,Electronics,Smartphone,48581,47,344,R102,S225,4,Highly recommend this seller,4,-0.385,Yes,20,No,No,,192.168.116.26,DEV-8871,27-12-2025 05:01,34,21,No,Genuine
Quikr,P606,Electronics,Earbuds,4438,78,485,R103,S1435,1,Very disappointed with the product,5,-0.118,No,5,Yes,No,Battery Issue,192.168.104.210,DEV-9221,08-09-2025 14:01,4,23,No,Complaint
Facebook Marketplace,P2125,Home Decor,Showpiece,42904,66,269,R104,S772,3,Received wrong item,3,0.824,No,18,No,No,Wrong Item,192.168.135.247,DEV-4150,29-11-2025 12:51,18,18,No,Complaint
Meesho,P922,Lighting,LED Strip,92692,31,353,R105,S1444,4,Product matches description perfectly,4,-0.04,No,10,Yes,No,,192.168.194.202,DEV-6654,04-01-2026 23:03,19,2,No,Genuine
Meesho,P2926,Furniture,Dining Table,58283,37,382,R106,S982,2,Battery drains quickly,3,-0.458,No,5,Yes,No,Battery Issue,10.0.0.5,DEV-4920,01-12-2025 00:21,4,22,Yes,Complaint
Telegram,P2614,Home Decor,Wall Art,13433,57,169,R107,S1470,4,Excellent quality and fast delivery,5,0.362,Yes,1,Yes,No,,192.168.243.244,DEV-4267,14-11-2025 16:59,21,10,No,Genuine
Instagram,P367,Storage,Drawer Unit,30737,73,378,R108,S1481,1,Received wrong item,3,0.764,Yes,2,Yes,No,Wrong Item,192.168.203.253,DEV-4052,13-11-2025 21:34,3,1,No,Complaint
Meesho,P2327,Bedding,Bedsheet,44214,41,232,R109,S1314,5,Highly recommend this seller,4,-0.012,Yes,17,No,No,,192.168.57.169,DEV-3662,13-09-2025 04:55,17,23,No,Genuine
Facebook Marketplace,P58,Storage,Shoe Rack,103947,42,290,R110,S1382,2,Battery drains quickly,3,0.712,No,14,Yes,No,Wrong Item,192.168.44.205,DEV-2562,22-12-2025 00:20,9,16,No,Complaint
OLX,P1017,Furniture,Dining Table,50575,35,228,R111,S547,3,Battery drains quickly,3,0.446,Yes,9,No,No,Fake Product,192.168.31.60,DEV-8625,07-11-2025 14:04,11,13,No,Complaint
Meesho,P2828,Furniture,Dining Table,48474,33,112,R112,S274,4,Very satisfied with the purchase,5,-0.09,No,14,No,No,,192.168.111.126,DEV-2341,19-08-2025 23:02,29,17,No,Genuine
OLX,P320,Bedding,Bedsheet,8394,75,462,R113,S1036,2,Amazing amazing amazing product,4,-0.671,No,4,Yes,No,,192.168.250.46,DEV-9361,18-09-2025 02:17,4,15,No,Genuine
Facebook Marketplace,P2103,Kitchen,Spice Rack,74212,12,286,R114,S947,3,Received wrong item,3,-0.491,Yes,7,Yes,No,Late Delivery,10.0.0.3,DEV-2044,14-08-2025 06:13,4,3,Yes,Complaint
YouTube Live,P130,Lighting,Ceiling Light,23890,22,392,R115,S1314,4,Product matches description perfectly,4,0.986,No,15,No,No,,192.168.68.178,DEV-2943,24-12-2025 07:27,35,13,No,Genuine
Facebook Marketplace,P2982,Home Decor,Wall Art,99413,7,500,R116,S612,4,Highly recommend this seller,4,-0.152,No,8,Yes,No,,192.168.79.141,DEV-4088,17-01-2026 04:55,3,22,No,Genuine
Quikr,P2519,Electronics,Smartphone,31844,31,34,R117,S207,5,Excellent quality and fast delivery,5,-0.107,Yes,8,Yes,No,,192.168.119.111,DEV-1924,07-01-2026 06:27,33,10,No,Genuine
Telegram,P2997,Bedding,Cushion,75990,46,121,R118,S619,2,Amazing amazing amazing product,4,-0.173,No,2,Yes,No,,192.168.89.218,DEV-9120,10-02-2026 05:18,23,21,No,Genuine
Quikr,P2149,Lighting,Ceiling Light,53811,24,153,R119,S771,2,Super product awesome awesome,4,-0.518,Yes,10,Yes,No,,192.168.73.237,DEV-1944,06-08-2025 12:46,27,14,No,Genuine
Facebook Marketplace,P1591,Home Decor,Clock,26951,47,331,R120,S162,4,Product matches description perfectly,4,-0.815,Yes,2,No,No,,192.168.20.37,DEV-4082,07-08-2025 19:40,14,16,No,Genuine
Telegram,P1364,Lighting,Lamp,28062,29,492,R121,S241,4,Very satisfied with the purchase,5,0.391,Yes,13,Yes,No,,192.168.144.194,DEV-8639,16-08-2025 23:52,23,10,No,Genuine
Meesho,P1474,Bedding,Blanket,61380,17,411,R122,S1480,4,Product matches description perfectly,4,0.829,No,11,No,No,,10.0.0.2,DEV-3390,21-02-2026 09:15,17,18,Yes,Genuine
Quikr,P1210,Home Decor,Mirror,43536,34,194,R123,S1167,2,Battery drains quickly,3,0.309,No,9,Yes,No,Missing Parts,192.168.250.251,DEV-8550,28-12-2025 00:56,23,6,No,Complaint
Facebook Marketplace,P2951,Bedding,Blanket,24423,74,328,R124,S121,5,Excellent quality and fast delivery,5,0.678,Yes,2,Yes,No,,192.168.118.34,DEV-3474,23-02-2026 23:06,14,17,No,Genuine
YouTube Live,P1529,Furniture,Coffee Table,83888,66,337,R125,S1000,1,Battery drains quickly,3,0.103,Yes,1,Yes,No,Late Delivery,192.168.140.146,DEV-1280,28-08-2025 10:33,28,6,No,Complaint
WhatsApp Business,P395,Bedding,Curtain,31884,29,317,R126,S1079,3,"Not as described, poor quality",5,0.59,Yes,12,No,No,Poor Quality,192.168.124.115,DEV-5914,28-01-2026 22:32,3,3,No,Complaint
Quikr,P1554,Kitchen,Utensil Holder,62690,12,326,R127,S20,2,Received wrong item,3,0.691,No,19,Yes,Yes,Damaged Product,192.168.48.21,DEV-4764,12-12-2025 07:35,37,16,No,Complaint
Meesho,P191,Furniture,Dining Table,118174,74,288,R128,S1348,1,"Not as described, poor quality",5,-0.969,Yes,19,Yes,No,Wrong Item,10.0.0.4,DEV-2260,10-11-2025 07:51,11,19,Yes,Complaint
Telegram,P2322,Electronics,Power Bank,89040,74,169,R129,S787,2,Battery drains quickly,3,0.491,No,2,Yes,Yes,Damaged Product,10.0.0.2,DEV-2245,26-10-2025 06:50,39,25,Yes,Complaint
